Katalog Data: Pendaftaran Mahasiswa,,,,
,,,,
No,Data,Deskripsi,Tipe,Keterangan
1,ID Pendaftaran,,,
2,Timestamp,Tanggal dan Waktu pendaftaran,Date time,"Format:
DD-MM-YYYY HH:MM:SS"
3,Nama Mahasiswa,Nama mahasiswa pendaftar,String,Tanpa maksimal jumlah karakter
4,Program Studi,Daftar program studi mahasiswa,String,"Opsi Data Program Studi tersedia:
Studi Islam Interdisipliner
Manajemen
Akuntansi
Farmasi
Agribisnis
Teknologi Hasil Pertanian
Informatika
Teknik Elektro
Teknik Komputer
Pendidikan Guru Sekolah Dasar
Pendidikan Bahasa Inggris

Mahasiswa memilih hanya satu di antaranya. Program Studi yang muncul hanya yang tersedia untuk lokasi tersebut"
5,Kontak,Nomor kontak mahasiswa,Number,Tanpa maksimal jumlah karakter
6,Pilihan Lokasi,Pilihan Lokasi yang dipilih mahasiswa,String,Sesuai master data lokasi
7,Alasan Pemilihan Lokasi,"Essay isian mahasiswa tentang isu strategis apa yang menarik untuk mahasiswa tersebut respon dalam bentuk program/project, dan bagaimana gambaran awal bentuk/ide project mahasiswa tersebut",String,"- Tanpa maksimal jumlah karakter
- Dalam bentu rich text"
8,Usulan Dosen Pembimbing,Nama lengkap dosen pembimbing yang diusulkan,String,Tanpa maksimal jumlah karakter
9,CV Mahasiswa,Mahasiswa perlu mengunggah CV dalam bentuk PDF,File,"Maksimal 10 Mb
Format dapat diunduh di: https://docs.google.com/document/d/1AvQW7qt-7iSIwMN8plY_YBAse8b38dNr/edit?usp=sharing&ouid=115431379466807729001&rtpof=true&sd=true "
10,Form Rekomendasi Program Studi,Mahasiswa perlu mengunggah Form Rekomendasi Program Studi dalam bentuk PDF,File,"Maksimal 10 Mb
Format dapat diunduh di: https://docs.google.com/document/d/1R4SVAqYM98xEizSFemMS2sq-5afJxiqz/edit?usp=sharing&ouid=115431379466807729001&rtpof=true&sd=true "
11,Form Komitmen Mahasiswa,Mahasiswa perlu mengunggah Form Komitmen Mahasiswa mengikuti program,File,"Maksimal 10 Mb
Format dapat diunduh di: https://docs.google.com/document/d/13p65XD0PkcY3vL57vdkwKgUs1a2YpDsu/edit?usp=sharing&ouid=115431379466807729001&rtpof=true&sd=true "
12,Transkrip Nilai Mahasiswa,Mahasiswa perlu mengunggah Transkrip Nilai terkini,File,Maksimal 10 Mb